checked_pc_max,statement_pc_max,project-id
0.010204081632653059, 0.008, Jsoup-1 
0.00980392156862745, 0.00909090909090909, Jsoup-2 
0.075, 0.07317073170731707, Jsoup-3 
1.0, 0.06666666666666668, Jsoup-4 
1.0, 1.0, Jsoup-5 
0.16666666666666666, 0.1176470588235294, Jsoup-6 
0.006711409395973154, 0.005555555555555557, Jsoup-7 
0.25, 0.16666666666666666, Jsoup-8 
0.14285714285714285, 0.05555555555555555, Jsoup-9 
0.125, 0.1111111111111111, Jsoup-10 
1.0, 1.0, Jsoup-11 
0.5, 0.5, Jsoup-12 
1.0, 1.0, Jsoup-13 
0.05882352941176471, 0.05555555555555555, Jsoup-14 
1.0, 1.0, Jsoup-15 
1.0, 0.13333333333333333, Jsoup-16 
0.011764705882352941, 0.0051813471502590676, Jsoup-17 
1.0, 1.0, Jsoup-18 
1.0, 1.0, Jsoup-20 
0.3333333333333333, 0.3333333333333333, Jsoup-21 
1.0, 1.0, Jsoup-22 
0.0047393364928909965, 0.0038759689922480615, Jsoup-23 
0.006578947368421052, 0.003703703703703704, Jsoup-25 
1.0, 0.05, Jsoup-26 
1.0, 1.0, Jsoup-27 
1.0, 0.5, Jsoup-28 
1.0, 1.0, Jsoup-29 
1.0, 1.0, Jsoup-30 
1.0, 1.0, Jsoup-31 
1.0, 0.16666666666666666, Jsoup-32 
0.5, 0.5, Jsoup-33 
0.5, 0.5, Jsoup-34 
0.00411522633744856, 0.003389830508474576, Jsoup-35 
1.0, 1.0, Jsoup-36 
0.007936507936507936, 0.007751937984496123, Jsoup-37 
0.00398406374501992, 0.0033444816053511705, Jsoup-38 
1.0, 0.5, Jsoup-39 
0.2, 0.14285714285714285, Jsoup-41 
1.0, 1.0, Jsoup-42 
0.5, 0.5, Jsoup-43 
0.003389830508474576, 0.00308641975308642, Jsoup-44 
0.14285714285714285, 0.08333333333333333, Jsoup-45 
1.0, 1.0, Jsoup-50 
0.005050505050505051, 0.0027548209366391185, Jsoup-51 
1.0, 1.0, Jsoup-52 
0.007246376811594203, 0.002493765586034913, Jsoup-55 
1.0, 0.5, Jsoup-58 
0.005235602094240838, 0.005012531328320803, Jsoup-59 
0.0045045045045045045, 0.0027027027027027033, Jsoup-62 
1.0, 0.5, Jsoup-63 
1.0, 0.2857142857142857, Jsoup-72 
0.5, 0.25, Jsoup-73 
0.015151515151515154, 0.011363636363636364, Jsoup-83 
1.0, 0.3333333333333333, Jsoup-89 
1.0, 1.0, Jsoup-93 
