project,project_id,statement_buggy,statement_fixed,statement_coverage_increase,checked_buggy,checked_fixed,checked_coverage_increase,mutation_buggy,mutation_fixed,mutation_coverage_increase
Lang,1,98.15303430079155,98.15303430079155,0.0,84.96042216358839,84.96042216358839,0.0,68.565169769989,70.7557502738226,3.194888178913865
Lang,3,98.1283422459893,98.1283422459893,0.0,85.02673796791443,85.02673796791443,0.0,69.6900114810563,70.3788748564868,0.9884678747940124
Lang,4,100.0,100.0,0.0,76.0,76.0,0.0,85.3658536585366,82.9268292682927,-2.8571428571428386
Lang,5,85.22727272727273,100.0,17.333333333333325,31.818181818181817,44.31818181818182,39.2857142857143,83.3333333333333,85.7142857142857,2.8571428571428736
Lang,6,93.33333333333333,93.33333333333333,0.0,55.172413793103445,55.172413793103445,0.0,83.3333333333333,85.7142857142857,2.8571428571428736
Lang,7,95.25065963060686,97.62532981530343,2.4930747922437666,82.05804749340369,86.54353562005277,5.466237942122183,62.3681125439625,66.4359861591695,6.522361266487911
Lang,8,94.47852760736197,94.47852760736197,0.0,9.815950920245399,9.815950920245399,0.0,73.6,80.1901743264659,8.954041204437363
Lang,9,93.95604395604396,94.5054945054945,0.5847953216374172,38.46153846153847,38.46153846153847,0.0,82.1917808219178,84.5890410958904,2.916666666666653
Lang,10,92.77777777777779,94.44444444444444,1.796407185628732,38.88888888888889,38.88888888888889,0.0,82.8070175438597,70.242214532872,-15.173596856489377
Lang,11,94.73684210526315,96.49122807017544,1.8518518518518596,73.21428571428571,76.78571428571429,4.878048780487822,68.6274509803922,69.1176470588235,0.7142857142856026
Lang,12,89.0909090909091,96.36363636363636,8.163265306122442,66.66666666666666,75.92592592592592,13.8888888888889,68.8442211055276,70,1.6788321167883855
Lang,13,81.81818181818183,81.81818181818183,0.0,57.692307692307686,57.692307692307686,0.0,42.8571428571429,70,63.33333333333319
Lang,14,98.08153477218225,98.16147082334132,0.08149959250203095,84.4924060751399,84.57234212629896,0.09460737937558368,76.1030595813205,76.1414790996784,0.05048353978049843
Lang,15,54.06360424028268,68.90459363957598,27.450980392156893,50.17667844522968,54.77031802120141,9.154929577464783,46.0992907801418,61.9318181818182,34.344405594405764
