project,project_id,statement_buggy,statement_fixed,statement_coverage_increase,checked_buggy,checked_fixed,checked_coverage_increase,mutation_buggy,mutation_fixed,mutation_coverage_increase
Math,20,87.90931989924434,89.67254408060454,2.005730659025787,7.052896725440807,75.81863979848866,975.0,0,0,0
Math,21,87.27272727272727,96.36363636363636,10.41666666666667,76.36363636363637,83.63636363636363,9.523809523809495,0,0,0
Math,22,95.1219512195122,97.5609756097561,2.5641025641025625,20.73170731707317,20.73170731707317,0.0,0,0,0
Math,23,94.82758620689656,94.82758620689656,0.0,79.3103448275862,79.3103448275862,0.0,0,0,0
Math,24,94.73684210526315,94.73684210526315,0.0,78.94736842105263,78.94736842105263,0.0,0,0,0
Math,25,100.0,100.0,0.0,75.0,75.0,0.0,0,0,0
Math,26,96.47058823529412,97.6470588235294,1.219512195121947,63.905325443786985,63.905325443786985,0.0,0,0,0
Math,27,97.6470588235294,97.6470588235294,0.0,63.905325443786985,63.905325443786985,0.0,0,0,0
Math,28,100.0,100.0,0.0,78.94736842105263,78.94736842105263,0.0,0,0,0
Math,29,91.98717948717949,94.23076923076923,2.4390243902438957,10.576923076923077,10.576923076923077,0.0,0,0,0
Math,30,91.17647058823529,91.17647058823529,0.0,70.58823529411765,70.58823529411765,0.0,0,0,0
Math,31,79.48717948717949,79.48717948717949,0.0,48.717948717948715,48.717948717948715,0.0,0,0,0
Math,32,67.2,72.0,7.142857142857138,57.599999999999994,60.8,5.555555555555561,0,0,0
Math,33,96.34146341463415,96.34146341463415,0.0,74.23312883435584,74.23312883435584,0.0,0,0,0
Math,34,82.6086956521739,82.6086956521739,0.0,63.04347826086957,65.21739130434783,3.4482758620689604,0,0,0
Math,35,100.0,100.0,0.0,78.94736842105263,78.94736842105263,0.0,0,0,0
Math,36,92.98245614035088,94.73684210526315,1.8867924528301814,58.14977973568281,60.792951541850215,4.545454545454548,0,0,0
Math,37,91.66666666666666,94.6078431372549,3.2085561497326323,81.37254901960785,84.31372549019608,3.614457831325297,0,0,0
Math,38,86.03256212510712,87.57497857754927,1.792828685258958,2.4850042844901457,2.4850042844901457,0.0,0,0,0
Math,39,100.0,100.0,0.0,69.44444444444444,69.44444444444444,0.0,0,0,0
Math,40,99.23664122137404,99.23664122137404,0.0,68.70229007633588,72.51908396946564,5.555555555555532,0,0,0
Math,41,91.07142857142857,91.07142857142857,0.0,60.71428571428571,60.71428571428571,0.0,0,0,0
Math,42,95.73170731707317,96.34146341463415,0.6369426751592353,74.23312883435584,74.23312883435584,0.0,0,0,0
Math,43,75.69060773480662,80.11049723756905,5.839416058394161,63.53591160220995,66.85082872928176,5.217391304347802,0,0,0
Math,44,96.61016949152543,96.61016949152543,0.0,13.559322033898304,13.559322033898304,0.0,0,0,0
Math,45,81.0,82.0,1.2345679012345678,11.0,11.0,0.0,0,0,0
Math,46,93.29608938547486,93.29608938547486,0.0,82.68156424581005,82.68156424581005,0.0,0,0,0
Math,47,93.29608938547486,93.85474860335195,0.5988023952095786,82.68156424581005,82.68156424581005,0.0,0,0,0
Math,48,94.11764705882352,95.58823529411765,1.5625000000000135,0.0,38.23529411764706,0,0,0,0
Math,49,84.48753462603878,88.36565096952909,4.59016393442623,57.340720221606645,57.340720221606645,0.0,0,0,0
Math,50,95.52238805970148,95.52238805970148,0.0,0.0,32.83582089552239,0,0,0,0
Math,51,90.14084507042254,95.77464788732394,6.249999999999983,0.0,43.66197183098591,0,0,0,0
Math,52,100.0,100.0,0.0,81.59509202453987,83.43558282208589,2.2556390977443765,0,0,0
Math,53,96.15384615384616,96.15384615384616,0.0,84.61538461538461,84.61538461538461,0.0,0,0,0
Math,54,89.9,90.3,0.44493882091211506,0.0,0.0,0,0,0,0
Math,55,93.89312977099237,93.89312977099237,0.0,57.25190839694656,59.541984732824424,4.000000000000002,0,0,0
Math,56,64.0,92.0,43.75,60.0,88.0,46.666666666666664,0,0,0
Math,57,96.49122807017544,96.49122807017544,0.0,75.43859649122807,75.43859649122807,0.0,0,0,0
Math,58,100.0,100.0,0.0,0.0,0.0,0,0,0,0
Math,59,86.89477081988379,87.02388637830859,0.14858841010402352,0.0,0.0,0,0,0,0
Math,60,92.85714285714286,95.23809523809523,2.5641025641025474,30.952380952380953,33.33333333333333,7.692307692307676,85.7142857142857,85.1239669421488,-0.6887052341597127
Math,61,84.375,87.5,3.7037037037037033,40.625,50.0,23.076923076923077,77.9411764705882,79.4117647058823,1.8867924528301692
Math,62,63.888888888888886,63.888888888888886,0.0,36.11111111111111,44.44444444444444,23.076923076923087,33.8983050847458,59.3220338983051,74.99999999999986
Math,63,89.44099378881988,91.30434782608695,2.0833333333333237,84.67908902691511,86.5424430641822,2.200488997555019,81.8853974121996,81.9781553398058,0.11327774003375732
Math,64,98.29059829059828,98.29059829059828,0.0,82.75862068965517,82.75862068965517,0.0,81.5,81.5,0.0
Math,65,86.20689655172413,94.25287356321839,9.333333333333341,45.97701149425287,60.91954022988506,32.500000000000014,74.0157480314961,82.7586206896552,11.812179016874524
Math,66,97.87234042553192,97.87234042553192,0.0,78.72340425531915,80.85106382978722,2.702702702702682,0,0,0
Math,67,48.888888888888886,75.55555555555556,54.54545454545456,21.11111111111111,53.333333333333336,152.63157894736844,48.0392156862745,66.2650602409639,37.93951315465958
Math,68,98.2089552238806,98.2089552238806,0.0,87.65060240963855,87.65060240963855,0.0,82.6160337552743,82.6160337552743,0.0
Math,69,95.83333333333334,98.61111111111111,2.898550724637674,55.55555555555556,56.94444444444444,2.4999999999999942,80.5031446540881,82.3899371069182,2.34374999999988
Math,70,86.95652173913044,91.30434782608695,4.999999999999993,69.56521739130434,73.91304347826086,6.249999999999992,75,75,0.0
Math,71,95.5,100.0,4.712041884816754,34.0,34.0,0.0,84.6,84.952380952381,0.41652594844091195
Math,72,89.2156862745098,95.09803921568627,6.593406593406585,81.37254901960785,86.27450980392157,6.024096385542173,76.7241379310345,75.4189944134078,-1.7010859330864894
Math,73,89.2156862745098,91.17647058823529,2.19780219780219,79.41176470588235,82.35294117647058,3.7037037037037,76.3848396501458,76.4204545454545,0.04662560721711122
Math,74,99.16666666666667,99.16666666666667,0.0,0.0,0.0,0,82.3529411764706,82.3529411764706,0.0
