statement,checked,name
0.3754951976255916,0.4999262752180553,Lang-1
0.4010530437158646,0.5195809758336634,Lang-3
-0.019287918745261468,0.053148615425412375,Lang-4
0.1792567620058401,0.5952903411850707,Lang-5
0.0450825011496256,0.3720298007233362,Lang-6
0.43204852954941897,0.5190364461124263,Lang-7
nan,nan,Lang-8
-0.06032239055131895,0.422941739665603,Lang-9
0.09189333927372748,0.39231913555638787,Lang-10
0.21263962740656997,0.3738010866802139,Lang-11
0.09318930110287847,0.32185949641402467,Lang-12
0.16464349838222075,0.4487832392373218,Lang-13
0.43029371818641443,0.5527018196079858,Lang-14
0.405984213530165,0.44558723029052305,Lang-15
0.44967618287970035,0.5206456511561826,Lang-16
0.01672484020014184,0.29674579441262405,Lang-17
-0.0708881205008336,0.4600920276092031,Lang-18
0.5519134453085335,0.5978741139861881,Lang-20
0.3616103416838954,0.5812609889584559,Lang-21
0.02418702311212753,0.38612344147531064,Lang-23
0.5784416083777218,0.6288602897738493,Lang-24
nan,nan,Lang-25
0.04762504762507144,0.4964831862805119,Lang-26
0.47864155496945643,0.5205253526157646,Lang-27
0.05079398258637717,0.5113385794726841,Lang-29
0.5343916535244357,0.5036202941684669,Lang-30
0.5129374115526582,0.6085577074186443,Lang-31
0.3156046970605649,0.5322183425445388,Lang-32
0.31756516818562497,0.5292260626909759,Lang-33
nan,nan,Lang-34
0.5135009017524981,0.5925698669345673,Lang-35
0.6677042489117229,0.5943321339247543,Lang-36
0.497556921951872,0.5707131621248551,Lang-37
-0.02127418820908676,0.5022698365350036,Lang-38
0.4443277223306072,0.5431467736812902,Lang-39
0.40151454483806315,0.5493762466029077,Lang-40
0.3435057123235777,0.6110357499956526,Lang-41
-0.17586311452816467,0.17387722105220366,Lang-42
0.05438162318757943,0.2163729997520556,Lang-43
0.2789458424833293,0.3502883011343861,Lang-44
0.15229181454596447,0.5252021506935336,Lang-45
0.1433728253004741,0.3849741916091625,Lang-46
0.3760352320832001,0.5961077237806552,Lang-47
0.40020443948646583,0.5158673177423958,Lang-48
0.45684516477461035,0.5885630864283941,Lang-49
0.10592829184202551,0.6358144578717938,Lang-50
0.6014403530182701,0.6352209381891522,Lang-51
0.15318893375938647,0.2800344485560703,Lang-52
0.2720369628170491,0.48528861536049994,Lang-53
0.14866271087356808,0.43711529989475734,Lang-54
0.21107885461912163,0.4217991718541562,Lang-55
-0.08521865330851897,0.4341674024305987,Lang-56
nan,nan,Lang-57
0.4804936487198236,0.4836940506855024,Lang-58
0.19671201266334148,0.5437989181192483,Lang-59
0.25446839570418645,0.5496127176956336,Lang-60
0.32489961059376093,0.5993112827118965,Lang-61
-0.07142857142857137,0.2740971037101471,Lang-62
-0.023483410915693136,0.3146460355927253,Lang-63
0.35479313339413476,0.44413418587787884,Lang-64
0.2952566181954863,0.49644631095174446,Lang-65
